,precision,recall,f1-score,support
akiec,0.7368421052631579,0.4666666666666667,0.5714285714285714,30.0
bcc,0.5,0.3333333333333333,0.4,30.0
bkl,0.3,0.4,0.34285714285714286,30.0
df,1.0,0.23529411764705882,0.38095238095238093,17.0
mel,0.47368421052631576,0.3,0.3673469387755102,30.0
nv,0.32894736842105265,0.8333333333333334,0.4716981132075472,30.0
vasc,1.0,0.5,0.6666666666666666,22.0
accuracy,0.4497354497354497,0.4497354497354497,0.4497354497354497,0.4497354497354497
macro avg,0.6199248120300752,0.4383753501400561,0.4572785448411171,189.0
weighted avg,0.5776942355889725,0.4497354497354497,0.4536655033382026,189.0
